date,open,high,low,close,volume,Name
2016-02-12,1.86,1.89,1.56,1.59,49579181,CHK
2015-07-27,1.67,1.7,1.61,1.62,11916468,AMD
2015-08-25,1.82,1.82,1.66,1.66,12097696,AMD
2015-09-28,1.69,1.7,1.66,1.66,5693063,AMD
2015-07-24,1.76,1.77,1.65,1.67,16478376,AMD
2015-09-29,1.67,1.69,1.65,1.67,7005323,AMD
2015-08-20,1.79,1.8,1.7,1.7,13745659,AMD
2015-09-23,1.76,1.775,1.69,1.7,9649200,AMD
2016-02-10,1.99,2.005,1.63,1.7,32507974,CHK
2015-09-01,1.77,1.82,1.71,1.71,8470710,AMD
